Nom,Mail,Ville,Parti_Politique,Site_Internet
M. Louis Margueritte,louis.margueritte@assemblee-nationale.fr,Saône-et-Loire,Renaissance,http://louismargueritte.fr
M. Olivier Marleix,Olivier.Marleix@assemblee-nationale.fr,Eure-et-Loir,Les Républicains,https://www.hatvp.fr/pages_nominatives/marleix-olivier
Mme Alexandra Martin,alexandra.martin@assemblee-nationale.fr,Alpes-Maritimes,Les Républicains,https://www.hatvp.fr/pages_nominatives/martin-alexandra
Mme Élisa Martin,elisa.martin@assemblee-nationale.fr,Isère,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/martin-elisa
M. Éric Martineau,eric.martineau@assemblee-nationale.fr,Sarthe,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/martineau-eric-24321
Mme Michèle Martinez,michele.martinez@assemblee-nationale.fr,Pyrénées-Orientales,Rassemblement National,https://www.hatvp.fr/pages_nominatives/martinez-michele-24163
Mme Alexandra Masson,alexandra.masson@assemblee-nationale.fr,Alpes-Maritimes,Rassemblement National,http://www.alexandramasson.fr
M. Max Mathiasin,Max.Mathiasin@assemblee-nationale.fr,Guadeloupe,"Libertés, Indépendants, Outre-mer et Territoires",https://www.hatvp.fr/pages_nominatives/mathiasin-max
M. Jean-Paul Mattei,Jean-Paul.Mattei@assemblee-nationale.fr,Pyrénées-Atlantiques,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/mattei-jean-paul
M. Kévin Mauvieux,kevin.mauvieux@assemblee-nationale.fr,Eure,Rassemblement National,https://www.hatvp.fr/pages_nominatives/mauvieux-kevin-24160
M. Stéphane Mazars,Stephane.Mazars@assemblee-nationale.fr,Aveyron,Renaissance,https://www.hatvp.fr/pages_nominatives/mazars-stephane
Mme Graziella Melchior,Graziella.Melchior@assemblee-nationale.fr,Finistère,Renaissance,https://www.hatvp.fr/pages_nominatives/melchior-graziella
Mme Yaël Menache,yael.menache@assemblee-nationale.fr,Somme,Rassemblement National,https://www.hatvp.fr/pages_nominatives/menache-yael-24218
Mme Emmanuelle Ménard,Emmanuelle.Menard@assemblee-nationale.fr,Hérault,Non inscrit,http://www.menard34.fr/
M. Thomas Mesnier,Thomas.Mesnier@assemblee-nationale.fr,Charente,Horizons et apparentés,http://thomasmesnier.fr
Mme Sophie Mette,Sophie.Mette@assemblee-nationale.fr,Gironde,Démocrate (MoDem et Indépendants),http://sophie-mette.com
Mme Frédérique Meunier,Frederique.Meunier@assemblee-nationale.fr,Corrèze,Les Républicains,https://www.hatvp.fr/pages_nominatives/meunier-frederique-6851
M. Pierre Meurin,pierre.meurin@assemblee-nationale.fr,Gard,Rassemblement National,https://www.hatvp.fr/pages_nominatives/meurin-pierre-24150
M. Paul Midy,paul.midy@assemblee-nationale.fr,Essonne,Renaissance,https://www.hatvp.fr/pages_nominatives/midy-paul-24266
M. Maxime Minot,Maxime.Minot@assemblee-nationale.fr,Oise,Les Républicains,https://www.hatvp.fr/pages_nominatives/minot-maxime
M. Yannick Monnet,yannick.monnet@assemblee-nationale.fr,Allier,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/monnet-yannick-24259
M. Pierre Morel-À-L'Huissier,Pierre.Morel-A-LHuissier@assemblee-nationale.fr,Lozère,"Libertés, Indépendants, Outre-mer et Territoires",http://www.pierre-morel.fr
Mme Naïma Moutchou,Naima.Moutchou@assemblee-nationale.fr,Val-d'Oise,Horizons et apparentés,https://www.hatvp.fr/pages_nominatives/moutchou-naima
M. Marcellin Nadeau,marcellin.nadeau@assemblee-nationale.fr,Martinique,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/nadeau-marcellin-24215
M. Philippe Naillet,philippe.naillet@assemblee-nationale.fr,Réunion,Socialistes et apparentés (membre de l’intergroupe NUPES),https://www.hatvp.fr/pages_nominatives/naillet-philippe
M. Jean-Philippe Nilor,Jean-Philippe.Nilor@assemblee-nationale.fr,Martinique,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://jpnilor.com
Mme Danièle Obono,Daniele.Obono@assemblee-nationale.fr,Paris,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://deputee-obono.fr
M. Karl Olive,karl.olive@assemblee-nationale.fr,Yvelines,Renaissance,http://karlolive.fr
Mme Nathalie Oziol,nathalie.oziol@assemblee-nationale.fr,Hérault,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/oziol-nathalie-24182
M. Jimmy Pahun,Jimmy.Pahun@assemblee-nationale.fr,Morbihan,Démocrate (MoDem et Indépendants),http://jimmypahun.fr
M. Laurent Panifous,laurent.panifous@assemblee-nationale.fr,Ariège,"Libertés, Indépendants, Outre-mer et Territoires",https://www.hatvp.fr/pages_nominatives/panifous-laurent-24169
Mme Astrid Panosyan-Bouvet,astrid.panosyan-bouvet@assemblee-nationale.fr,Paris,Renaissance,https://www.hatvp.fr/pages_nominatives/panosyan-bouvet-astrid
M. Didier Paris,Didier.Paris@assemblee-nationale.fr,Côte-d'Or,Renaissance,http://www.didier-paris.fr
Mme Caroline Parmentier,caroline.parmentier@assemblee-nationale.fr,Pas-de-Calais,Rassemblement National,https://www.hatvp.fr/pages_nominatives/parmentier-caroline-24247
Mme Francesca Pasquini,francesca.pasquini@assemblee-nationale.fr,Hauts-de-Seine,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/pasquini-francesca-24332
M. Éric Pauget,Eric.Pauget@assemblee-nationale.fr,Alpes-Maritimes,Les Républicains,http://www.ericpauget.fr
Mme Isabelle Périgault,isabelle.perigault@assemblee-nationale.fr,Seine-et-Marne,Les Républicains,https://www.hatvp.fr/pages_nominatives/perigault-isabelle-14883
Mme Anne-Laurence Petel,Anne-Laurence.Petel@assemblee-nationale.fr,Bouches-du-Rhône,Renaissance,http://www.annelaurencepetel.fr
M. Bertrand Petit,bertrand.petit@assemblee-nationale.fr,Pas-de-Calais,Socialistes et apparentés (membre de l’intergroupe NUPES),https://www.hatvp.fr/pages_nominatives/petit-bertrand-7057
Mme Maud Petit,Maud.Petit@assemblee-nationale.fr,Val-de-Marne,Démocrate (MoDem et Indépendants),http://www.maudpetit2017.fr
Mme Michèle Peyron,Michele.Peyron@assemblee-nationale.fr,Seine-et-Marne,Renaissance,http://www.michelepeyron.fr
M. Kévin Pfeffer,kevin.pfeffer@assemblee-nationale.fr,Moselle,Rassemblement National,https://www.hatvp.fr/pages_nominatives/pfeffer-kevin-24162
M. François Piquemal,francois.piquemal@assemblee-nationale.fr,Haute-Garonne,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://francoispiquemal.fr/
Mme Béatrice Piron,Beatrice.Piron@assemblee-nationale.fr,Yvelines,Renaissance,http://www.beatricepiron.fr
M. Christophe Plassard,christophe.plassard@assemblee-nationale.fr,Charente-Maritime,Horizons et apparentés,http://cplassard.fr
Mme Lisette Pollet,lisette.pollet@assemblee-nationale.fr,Drôme,Rassemblement National,https://www.hatvp.fr/pages_nominatives/pollet-lisette-24138
M. Jean-Pierre Pont,Jean-Pierre.Pont@assemblee-nationale.fr,Pas-de-Calais,Renaissance,http://www.jeanpierrepont.fr
M. Thomas Portes,thomas.portes@assemblee-nationale.fr,Seine-Saint-Denis,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://thomasportes93.com
M. Dominique Potier,Dominique.Potier@assemblee-nationale.fr,Meurthe-et-Moselle,Socialistes et apparentés (membre de l’intergroupe NUPES),http://www.dominiquepotier.com
M. Éric Poulliat,Eric.Poulliat@assemblee-nationale.fr,Gironde,Renaissance,http://www.ericpoulliat.com
Mme Natalia Pouzyreff,Natalia.Pouzyreff@assemblee-nationale.fr,Yvelines,Renaissance,http://www.nataliapouzyreff.fr
M. Aurélien Pradié,Aurelien.Pradie@assemblee-nationale.fr,Lot,Les Républicains,http://www.aurelienpradie.fr
M. Adrien Quatennens,Adrien.Quatennens@assemblee-nationale.fr,Nord,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://quatennens2022.fr
M. Stéphane Rambaud,stephane.rambaud@assemblee-nationale.fr,Var,Rassemblement National,https://www.hatvp.fr/pages_nominatives/rambaud-stephane-24208
Mme Angélique Ranc,angelique.ranc@assemblee-nationale.fr,Aube,Rassemblement National,https://www.hatvp.fr/pages_nominatives/ranc-angelique-24274
M. Jean-Hugues Ratenon,Jean-Hugues.Ratenon@assemblee-nationale.fr,Réunion,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/ratenon-jean-hugues
M. Jean-Claude Raux,jean-claude.raux@assemblee-nationale.fr,Loire-Atlantique,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/raux-jean-claude-24342
M. Rémy Rebeyrotte,Remy.Rebeyrotte@assemblee-nationale.fr,Saône-et-Loire,Renaissance,https://www.hatvp.fr/pages_nominatives/rebeyrotte-remy
Mme Sandra Regol,sandra.regol@assemblee-nationale.fr,Bas-Rhin,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/regol-sandra-24199
M. Davy Rimane,davy.rimane@assemblee-nationale.fr,Guyane,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/rimane-davy-24310
Mme Stéphanie Rist,Stephanie.Rist@assemblee-nationale.fr,Loiret,Renaissance,http://stephanierist.fr/
Mme Laurence Robert-Dehault,laurence.robert-dehault@assemblee-nationale.fr,Haute-Marne,Rassemblement National,https://www.hatvp.fr/pages_nominatives/robert-dehault-laurence-24136
M. Vincent Rolland,Vincent.Rolland@assemblee-nationale.fr,Savoie,Les Républicains,http://vincentrolland.fr
M. Xavier Roseren,Xavier.Roseren@assemblee-nationale.fr,Haute-Savoie,Renaissance,http://roseren.com
Mme Béatrice Roullaud,beatrice.roullaud@assemblee-nationale.fr,Seine-et-Marne,Rassemblement National,https://www.hatvp.fr/pages_nominatives/roullaud-beatrice-24224
M. Fabien Roussel,Fabien.Roussel@assemblee-nationale.fr,Nord,Gauche démocrate et républicaine - NUPES,http://rousselfabien.com
M. Lionel Royer-Perreaut,lionel.royer-perreaut@assemblee-nationale.fr,Bouches-du-Rhône,Renaissance,https://www.hatvp.fr/pages_nominatives/royer-perreaut-lionel
M. François Ruffin,Francois.Ruffin@assemblee-nationale.fr,Somme,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://www.francoisruffin.fr
M. Alexandre Sabatou,alexandre.sabatou@assemblee-nationale.fr,Oise,Rassemblement National,http://www.alexandresabatou.fr 
Mme Laetitia Saint-Paul,Laetitia.Saint-Paul@assemblee-nationale.fr,Maine-et-Loire,Renaissance,http://www.laetitia-saint-paul.fr
M. Michel Sala,michel.sala@assemblee-nationale.fr,Gard,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/sala-michel-24242
M. Nicolas Sansu,nicolas.sansu@assemblee-nationale.fr,Cher,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/sansu-nicolas
Mme Eva Sas,eva.sas@assemblee-nationale.fr,Paris,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/sas-eva
M. Raphaël Schellenberger,Raphael.Schellenberger@assemblee-nationale.fr,Haut-Rhin,Les Républicains,http://www.raphael-schellenberger.fr
Mme Sabrina Sebaihi,sabrina.sebaihi@assemblee-nationale.fr,Hauts-de-Seine,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/sebaihi-sabrina-24197
M. Mikaele Seo,mikaele.seo@assemblee-nationale.fr,Wallis-et-Futuna,Renaissance,https://www.hatvp.fr/pages_nominatives/seo-mikaele-24245
M. Freddy Sertin,freddy.sertin@assemblee-nationale.fr,Calvados,Renaissance,https://www.hatvp.fr/pages_nominatives/sertin-freddy-24500
Mme Danielle Simonnet,danielle.simonnet@assemblee-nationale.fr,Paris,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/simonnet-danielle-24313
M. Philippe Sorez,philippe.sorez@assemblee-nationale.fr,Hérault,Renaissance,https://www.hatvp.fr/pages_nominatives/sorez-philippe-24619
Mme Ersilia Soudais,ersilia.soudais@assemblee-nationale.fr,Seine-et-Marne,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/soudais-ersilia-24325
Mme Anne Stambach-Terrenoir,anne.stambach-terrenoir@assemblee-nationale.fr,Haute-Garonne,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/stambach-terrenoir-anne-24282
Mme Michèle Tabarot,Michele.Tabarot@assemblee-nationale.fr,Alpes-Maritimes,Les Républicains,http://www.micheletabarot.fr/
M. Emmanuel Taché de la Pagerie,emmanuel.tachedelapagerie@assemblee-nationale.fr,Bouches-du-Rhône,Rassemblement National,https://www.hatvp.fr/pages_nominatives/tache-de-la-pagerie-emmanuel-24318
M. Jean-Pierre Taite,jean-pierre.taite@assemblee-nationale.fr,Loire,Les Républicains,https://www.hatvp.fr/pages_nominatives/taite-jean-pierre
Mme Liliana Tanguy,Liliana.Tanguy@assemblee-nationale.fr,Finistère,Renaissance,http://www.lilianetanguy.en-marche.fr
M. David Taupiac,david.taupiac@assemblee-nationale.fr,Gers,"Libertés, Indépendants, Outre-mer et Territoires",https://www.hatvp.fr/pages_nominatives/taupiac-david-24308
Mme Andrée Taurinya,andree.taurinya@assemblee-nationale.fr,Loire,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/taurinya-andree-24273
M. Michaël Taverne,michael.taverne@assemblee-nationale.fr,Nord,Rassemblement National,http://michaeltaverne2022.wordpress.com/
M. Jean Terlier,Jean.Terlier@assemblee-nationale.fr,Tarn,Renaissance,https://www.hatvp.fr/pages_nominatives/terlier-jean
M. Vincent Thiébaut,Vincent.Thiebaut@assemblee-nationale.fr,Bas-Rhin,Horizons et apparentés,http://vincentthiebaut.fr/
M. Nicolas Thierry,nicolas.thierry@assemblee-nationale.fr,Gironde,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/thierry-nicolas
Mme Mélanie Thomin,melanie.thomin@assemblee-nationale.fr,Finistère,Socialistes et apparentés (membre de l’intergroupe NUPES),http://www.melaniethomin.bzh
M. Lionel Tivoli,lionel.tivoli@assemblee-nationale.fr,Alpes-Maritimes,Rassemblement National,https://www.hatvp.fr/pages_nominatives/tivoli-lionel-24176
Mme Aurélie Trouvé,aurelie.trouve@assemblee-nationale.fr,Seine-Saint-Denis,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/trouve-aurelie-24222
Mme Cécile Untermaier,Cecile.Untermaier@assemblee-nationale.fr,Saône-et-Loire,Socialistes et apparentés (membre de l’intergroupe NUPES),http://www.cecileuntermaier.fr
Mme Isabelle Valentin,Isabelle.Valentin@assemblee-nationale.fr,Haute-Loire,Les Républicains,https://www.hatvp.fr/pages_nominatives/valentin-isabelle
M. Frédéric Valletoux,frederic.valletoux@assemblee-nationale.fr,Seine-et-Marne,Horizons et apparentés,https://www.hatvp.fr/pages_nominatives/valletoux-frederic
M. Pierre Vatin,Pierre.Vatin@assemblee-nationale.fr,Oise,Les Républicains,https://www.hatvp.fr/pages_nominatives/vatin-pierre
Mme Laurence Vichnievsky,Laurence.Vichnievsky@assemblee-nationale.fr,Puy-de-Dôme,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/vichnievsky-laurence
Mme Annie Vidal,Annie.Vidal@assemblee-nationale.fr,Seine-Maritime,Renaissance,https://www.hatvp.fr/pages_nominatives/vidal-annie
M. Philippe Vigier,Philippe.Vigier@assemblee-nationale.fr,Eure-et-Loir,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/vigier-philippe
Mme Corinne Vignon,Corinne.Vignon@assemblee-nationale.fr,Haute-Garonne,Renaissance,http://www.corinnevignon.fr
M. André Villiers,Andre.Villiers@assemblee-nationale.fr,Yonne,Horizons et apparentés,http://www.andrevilliers.net/
Mme Anne-Cécile Violland,anne-cecile.violland@assemblee-nationale.fr,Haute-Savoie,Horizons et apparentés,https://www.hatvp.fr/pages_nominatives/violland-anne-cecile-24285
M. Stéphane Vojetta,stephane.vojetta@assemblee-nationale.fr,Français établis hors de France,Renaissance,http://stephane-vojetta.com
M. Guillaume Vuilletet,Guillaume.Vuilletet@assemblee-nationale.fr,Val-d'Oise,Renaissance,https://www.hatvp.fr/pages_nominatives/vuilletet-guillaume
M. Jean-Luc Warsmann,Jean-Luc.Warsmann@assemblee-nationale.fr,Ardennes,"Libertés, Indépendants, Outre-mer et Territoires",https://www.hatvp.fr/pages_nominatives/warsmann-jean-luc
M. Jiovanny William,jiovanny.william@assemblee-nationale.fr,Martinique,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/william-jiovanny-20225
M. Hubert Wulfranc,Hubert.Wulfranc@assemblee-nationale.fr,Seine-Maritime,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/wulfranc-hubert
Mme Estelle Youssouffa,estelle.youssouffa@assemblee-nationale.fr,Mayotte,"Libertés, Indépendants, Outre-mer et Territoires",https://www.hatvp.fr/pages_nominatives/youssouffa-estelle-24327
